order_id,product_category,product_name,quantity,unit_price,total_revenue,region,Payment Method,order_date
10001,Electronics,iPhone 14 Pro,2,999.99,1999.98,North America,Credit Card,01/01/2024
10002,Home Appliances,Dyson V11 Vacuum,1,499.99,499.99,Europe,PayPal,02/01/2024
10003,Clothing,Levi's 501 Jeans,3,69.99,209.97,Asia,Debit Card,03/01/2024
10004,Books,The Da Vinci Code,4,15.99,63.96,North America,Credit Card,04/01/2024
10005,Beauty Products,Neutrogena Skincare Set,1,89.99,89.99,Europe,PayPal,05/01/2024
10006,Sports,Wilson Evolution Basketball,5,29.99,149.95,Asia,Credit Card,06/01/2024
10007,Electronics,MacBook Pro 16-inch,1,2499.99,2499.99,North America,Credit Card,07/01/2024
10008,Home Appliances,Blueair Classic 480i,2,599.99,1199.98,Europe,PayPal,08/01/2024
10009,Clothing,Nike Air Force 1,6,89.99,539.94,Asia,Debit Card,09/01/2024
10010,Books,Dune by Frank Herbert,2,25.99,51.98,North America,Credit Card,10/01/2024
10011,Beauty Products,Chanel No. 5 Perfume,1,129.99,129.99,Europe,PayPal,11/01/2024
10012,Sports,Babolat Pure Drive Tennis Racket,3,199.99,599.97,Asia,Credit Card,12/01/2024
10013,Electronics,Samsung Galaxy Tab S8,2,749.99,1499.98,North America,Credit Card,13/01/2024
10014,Home Appliances,Keurig K-Elite Coffee Maker,1,189.99,189.99,Europe,PayPal,14/01/2024
10015,Clothing,North Face Down Jacket,2,249.99,499.98,Asia,Debit Card,15/01/2024
10016,Books,"Salt, Fat, Acid, Heat by Samin Nosrat",3,35.99,107.97,North America,Credit Card,16/01/2024
10017,Beauty Products,Dyson Supersonic Hair Dryer,1,399.99,399.99,Europe,PayPal,17/01/2024
10018,Sports,Manduka PRO Yoga Mat,4,119.99,479.96,Asia,Credit Card,18/01/2024
10019,Electronics,Garmin Forerunner 945,2,499.99,999.98,North America,Credit Card,19/01/2024
10020,Home Appliances,Ninja Professional Blender,1,99.99,99.99,Europe,PayPal,20/01/2024
10021,Clothing,Zara Summer Dress,3,59.99,179.97,Asia,Debit Card,21/01/2024
10022,Books,Gone Girl by Gillian Flynn,2,22.99,45.98,North America,Credit Card,22/01/2024
10023,Beauty Products,Olay Regenerist Face Cream,1,49.99,49.99,Europe,PayPal,23/01/2024
10024,Sports,Adidas FIFA World Cup Football,3,29.99,89.97,Asia,Credit Card,24/01/2024
10025,Electronics,Bose QuietComfort 35 Headphones,1,299.99,299.99,North America,Credit Card,25/01/2024
10026,Home Appliances,Panasonic NN-SN966S Microwave,1,179.99,179.99,Europe,PayPal,26/01/2024
10027,Clothing,Adidas Ultraboost Shoes,2,179.99,359.98,Asia,Debit Card,27/01/2024
10028,Books,Pride and Prejudice by Jane Austen,3,12.99,38.97,North America,Credit Card,28/01/2024
10029,Beauty Products,MAC Ruby Woo Lipstick,1,29.99,29.99,Europe,PayPal,29/01/2024
10030,Sports,Nike Air Zoom Pegasus 37,2,129.99,259.98,Asia,Credit Card,30/01/2024
10031,Electronics,Sony WH-1000XM4 Headphones,2,349.99,699.98,North America,Credit Card,31/01/2024
10032,Home Appliances,Instant Pot Duo,3,89.99,269.97,Europe,PayPal,01/02/2024
10033,Clothing,Under Armour HeatGear T-Shirt,5,29.99,149.95,Asia,Debit Card,02/02/2024
10034,Books,1984 by George Orwell,4,19.99,79.96,North America,Credit Card,03/02/2024
10035,Beauty Products,L'Oreal Revitalift Serum,2,39.99,79.98,Europe,PayPal,04/02/2024
10036,Sports,Peloton Bike,1,1895,1895,Asia,Credit Card,05/02/2024
10037,Electronics,Apple Watch Series 8,3,399.99,1199.97,North America,Credit Card,06/02/2024
10038,Home Appliances,Roomba i7+,2,799.99,1599.98,Europe,PayPal,07/02/2024
10039,Clothing,Columbia Fleece Jacket,4,59.99,239.96,Asia,Debit Card,08/02/2024
10040,Books,Harry Potter and the Sorcerer's Stone,3,24.99,74.97,North America,Credit Card,09/02/2024
10041,Beauty Products,Estee Lauder Advanced Night Repair,1,105,105,Europe,PayPal,10/02/2024
10042,Sports,Fitbit Charge 5,2,129.99,259.98,Asia,Credit Card,11/02/2024
10043,Electronics,GoPro HERO10 Black,3,399.99,1199.97,North America,Credit Card,12/02/2024
10044,Home Appliances,Nespresso VertuoPlus,1,199.99,199.99,Europe,PayPal,13/02/2024
10045,Clothing,Patagonia Better Sweater,2,139.99,279.98,Asia,Debit Card,14/02/2024
10046,Books,Becoming by Michelle Obama,4,32.5,130,North America,Credit Card,15/02/2024
10047,Beauty Products,Clinique Moisture Surge,1,52,52,Europe,PayPal,16/02/2024
10048,Sports,Yeti Rambler Tumbler,6,39.99,239.94,Asia,Credit Card,17/02/2024
10049,Electronics,Kindle Paperwhite,2,129.99,259.98,North America,Credit Card,18/02/2024
10050,Home Appliances,Breville Smart Oven,1,299.99,299.99,Europe,PayPal,19/02/2024
10051,Clothing,Ray-Ban Aviator Sunglasses,3,154.99,464.97,Asia,Debit Card,20/02/2024
10052,Books,The Silent Patient by Alex Michaelides,2,26.99,53.98,North America,Credit Card,21/02/2024
10053,Beauty Products,Shiseido Ultimate Sun Protector,1,49,49,Europe,PayPal,22/02/2024
10054,Sports,Titleist Pro V1 Golf Balls,5,49.99,249.95,Asia,Credit Card,23/02/2024
10055,Electronics,Anker PowerCore Portable Charger,4,59.99,239.96,North America,Credit Card,24/02/2024
10056,Home Appliances,KitchenAid Artisan Stand Mixer,1,499.99,499.99,Europe,PayPal,25/02/2024
