order_id,order_date,product_name,product_category,quantity,unit_price,total_revenue,customer_id,region,cost_price
1,18/11/2022,lorem,toys,92,558.87,51416.04,8814,Goregaon,651.04
2,28/07/2020,etiam,electronics,35,475.05,16626.75,6905,Borivali,489.23
3,12/11/2021,integer,beauty products,93,988.67,91946.31,8075,Worli,525.15
4,7/5/2020,ipsum integer,home decor,32,180.29,5769.28,8839,Kandivali,332.07
5,8/11/2022,tortor eu,toys,100,889.12,88912,9897,Bhandup,17.19
6,27/01/2021,sit,clothing,8,919.06,7352.48,7072,Ghatkopar,76.73
7,26/07/2021,amet,home decor,85,753.25,64026.25,8198,Goregaon,641.16
8,19/08/2021,tempus,home decor,43,484.71,20842.53,5425,Bandra,123.77
9,28/07/2021,risus praesent,home decor,31,429.19,13304.89,6351,Bandra,626.28
10,27/11/2020,rhoncus,clothing,63,641.04,40385.52,4323,Powai,481.26
11,3/5/2021,at,home decor,100,223.32,22332,8297,Chembur,236.24
12,18/05/2021,tristique,kitchen appliances,55,443.57,24396.35,3658,Kandivali,367.61
13,5/7/2022,quam,outdoor gear,37,51.79,1916.23,4671,Kurla,170.75
14,13/08/2021,purus,office supplies,43,415.07,17848.01,9886,Colaba,131.2
15,20/05/2020,tempor,pet supplies,52,900.7,46836.4,5338,Colaba,182.25
16,5/4/2022,euismod,office supplies,62,274.04,16990.48,7728,Andheri,284.55
17,15/07/2022,elementum,beauty products,76,294.92,22413.92,4683,Navi Mumbai,647.36
18,10/6/2020,pharetra,office supplies,20,84.34,1686.8,4807,Goregaon,322.02
19,14/03/2021,morbi,pet supplies,63,795.36,50107.68,4136,Mulund,300.03
20,17/10/2020,etiam,outdoor gear,76,164.68,12515.68,2400,Navi Mumbai,333.26
21,29/10/2022,diam cras,pet supplies,6,929.44,5576.64,7659,Malad,631.96
22,6/12/2022,tincidunt in,toys,89,3,267,1279,Ghatkopar,475.09
23,26/07/2022,sit,toys,64,75.49,4831.36,3900,Mulund,61.14
24,7/4/2021,ac,outdoor gear,15,482.12,7231.8,4881,Juhu,105.82
25,30/06/2021,sapien,office supplies,12,281.41,3376.92,3836,Juhu,315.98
26,11/1/2020,luctus ultricies,sports equipment,80,287.29,22983.2,2846,Borivali,343.24
27,13/12/2022,amet lobortis,beauty products,16,15.97,255.52,9682,Powai,509.07
28,14/12/2022,sem,home decor,22,37.08,815.76,3646,Malad,545.06
29,10/3/2020,in,sports equipment,77,594.07,45743.39,1329,Juhu,287.12
30,12/11/2020,vulputate,electronics,73,226.95,16567.35,9780,Andheri,112.98
31,5/7/2022,scelerisque mauris,electronics,98,369.8,36240.4,9574,Dadar,230.23
32,26/06/2020,arcu adipiscing,home decor,81,182.81,14807.61,6486,Vile Parle,159.74
33,20/11/2022,condimentum curabitur,beauty products,53,853.84,45253.52,4130,Ghatkopar,182.83
34,1/12/2022,morbi,office supplies,35,115.85,4054.75,6026,Worli,633.97
35,13/07/2021,mauris,toys,25,834.41,20860.25,5626,Bhandup,421.78
36,9/8/2022,mi in,office supplies,100,335.13,33513,2139,Goregaon,251.08
37,17/01/2020,suscipit nulla,toys,86,356.09,30623.74,9729,Powai,351.98
38,4/4/2020,consectetuer adipiscing,kitchen appliances,29,248.4,7203.6,3675,Mulund,472.21
39,18/04/2020,augue luctus,clothing,33,402.83,13293.39,5112,Chembur,412.33
40,16/11/2020,nonummy,electronics,21,294.94,6193.74,5903,Vile Parle,39.94
41,2/9/2022,in,kitchen appliances,7,944.56,6611.92,7233,Ghatkopar,381.45
42,16/06/2020,tristique,sports equipment,72,469.28,33788.16,7429,Chembur,553.5
43,21/02/2021,nulla integer,kitchen appliances,31,807.26,25025.06,3780,Mulund,592.16
44,3/5/2020,sagittis,home decor,49,94.04,4607.96,8395,Navi Mumbai,2.94
45,12/10/2021,vestibulum sed,outdoor gear,45,25.38,1142.1,2798,Worli,654.63
46,4/4/2020,a pede,kitchen appliances,49,926.06,45376.94,2691,Mulund,96.89
47,14/07/2022,diam neque,pet supplies,57,56.57,3224.49,6058,Colaba,68.24
48,21/01/2021,amet,beauty products,57,826.67,47120.19,2241,Navi Mumbai,307.78
49,28/05/2021,vel enim,kitchen appliances,85,708.41,60214.85,7014,Mulund,562.03
